gene	group	dataset_id	Corpus_callosum	Isocortex	Hippocampus	Cerebellum	Striatum	Hypothalamus	Olfact_bulb	Midbrain
Axin2	wnt	69838361	0.0	0.5653	0.4431	0.1408	0.1693	0.3341	0.7225	0.6433
Ctnnb1	wnt	79904258	0.0	8.9605	12.8218	6.6542	9.5053	8.7996	7.0722	8.9716
Fzd1	wnt	2240	0.0	2.184	1.9256	3.6317	0.475	1.0899	3.3769	2.4634
Tcf7l2	wnt	100055043	0.0	1.1821	1.6313	1.9614	1.3455	2.3485	1.1245	8.4188
Wnt3a	wnt	77800899	0.0	0.1205	0.1272	0.0974	0.0807	0.1202	0.1264	0.0857
Pdgfra	opc_ol	79354743	0.0	2.1814	2.5772	1.2081	1.924	2.3441	2.3753	2.19
Cspg4	opc_ol	69608160	0.0	0.7267	0.5225	0.3331	0.4285	0.3921	0.5448	0.4054
Sox10	opc_ol	75694718	0.0	3.5206	2.9261	2.4193	4.4319	3.4686	4.0533	4.1812
Mbp	opc_ol	79632288	0.0	7.6361	6.6663	10.5527	10.5277	10.56	8.448	11.9351
Plp1	opc_ol	75496529	0.0	15.9	14.3495	14.0161	18.5654	18.8069	19.6088	21.7138
Mog	opc_ol	70946633	0.0	3.4822	4.398	5.2462	6.5079	4.7991	3.2547	9.663
Cnp	opc_ol	1176	0.0	4.9886	5.0267	6.9661	7.9991	7.8443	4.5486	10.4992
Pecam1	vascular	68443238	0.0	1.1002	0.9825	0.6393	0.5795	0.2837	0.8283	0.3632
Cdh5	vascular	77931975	0.0	0.9049	0.9127	1.2029	0.7536	0.8344	1.3561	1.0573
Cldn5	vascular	79360268	0.0	2.9266	3.044	3.2495	2.7632	2.6055	6.9797	2.4335
Pdgfrb	vascular	77790728	0.0	1.4759	1.6422	1.9292	1.4828	1.4549	1.8949	1.6164
